code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
300547,川环科技,橡胶,四川,28.53,1.45,2.17,9.83,7.37,2.23,1.84,0.85,0.188,3.77,2.85,20160930.0,3.62,1.67,9.01,-25.96,29.92,15.43,13005.0,0.0
2153,石基信息,软件服务,北京,317.56,4.88,10.71,107.24,62.96,3.2,41.47,3.87,0.054000000000000006,8.06,4.26,20070813.0,30.64,2.86,-9.94,-72.19,41.08,4.24,17082.0,0.0
300285,国瓷材料,陶瓷,山东,80.03,7.54,9.63,50.27,21.72,9.69,11.1,1.15,0.268,4.0,10.73,20120113.0,16.36,1.7,4.27,4.11,48.31,24.01,27112.0,0.0
2735,王子新材,塑料,深圳,124.26,0.92,1.43,11.6,7.63,2.14,2.03,1.42,0.16,4.76,8.33,20141203.0,3.59,2.51,19.41,29.22,20.95,3.86,8695.0,0.0
300283,温州宏丰,电气设备,浙江,327.77,2.6,4.14,15.37,7.38,4.99,0.18,0.04,0.008,1.48,3.5,20120110.0,1.5,0.36,-19.26,-73.87,11.57,0.5,11277.0,0.0
300699,光威复材,化工原料,山东,60.02,5.16,5.18,41.1,26.17,7.5,15.21,2.93,0.679,6.45,12.62,20170901.0,12.25,2.36,20.17,13.42,54.04,35.01,29889.0,0.0
300024,机器人,专用机械,辽宁,97.31,15.12,15.6,104.62,72.13,15.52,26.5,1.7,0.085,4.24,3.9,20091030.0,22.58,1.45,-1.87,-38.43,27.45,10.73,141852.0,0.0
300211,亿通科技,通信设备,江苏,243.02,2.97,3.03,4.91,3.3,1.17,0.37,0.12,0.017,1.5,5.4,20110505.0,0.92,0.3,-19.24,104.23,31.33,12.07,14582.0,0.0
300111,向日葵,半导体,浙江,107.79,11.17,11.2,5.16,3.43,1.52,2.06,0.18,0.019,0.06,63.69,20100827.0,-13.21,-1.18,-59.68,614.32,32.22,13.72,91785.0,0.0
600660,福耀玻璃,汽车配件,福建,39.35,20.03,25.09,432.89,223.77,144.37,62.23,2.48,0.384,8.17,3.7,19930610.0,89.11,3.55,-21.06,-35.97,35.74,11.87,138127.0,0.0
300424,航新科技,航空,广东,286.09,1.96,2.4,24.24,13.66,3.25,2.51,1.05,0.031,4.48,3.98,20150422.0,5.36,2.24,-6.06,-77.21,22.31,1.4,19142.0,0.0
600535,天士力,中成药,天津,20.75,15.13,15.13,231.94,160.0,33.04,20.6,1.36,0.453,7.53,2.5,20020823.0,67.5,4.46,-8.43,-23.65,31.64,7.95,82957.0,0.0
600233,圆通速递,仓储物流,辽宁,27.18,31.58,31.6,242.96,99.46,73.9,93.88,2.97,0.32,5.17,3.23,20000608.0,60.87,1.93,4.5,12.55,11.63,6.66,47880.0,0.0
603110,东方材料,染料涂料,浙江,44.77,0.54,1.44,7.41,5.37,0.93,2.4,1.67,0.2,4.46,4.01,20171013.0,2.33,1.62,-2.82,18.31,39.35,16.18,10726.0,0.0
600335,国机汽车,汽车配件,天津,19.66,10.3,14.57,328.68,253.04,29.51,30.44,2.09,0.154,7.05,0.86,20010305.0,55.75,3.83,-31.49,-45.03,7.99,1.23,25500.0,0.0
300286,安科瑞,电器仪表,上海,26.74,1.72,2.15,10.74,7.47,1.89,0.97,0.45,0.33,3.47,4.83,20120113.0,4.52,2.1,21.57,22.3,46.37,21.66,8789.0,0.0
300443,金雷股份,专用机械,山东,18.07,1.59,2.38,23.16,12.63,6.49,6.84,2.87,0.752,8.7,3.13,20150422.0,10.37,4.36,23.28,121.88,40.33,29.5,23552.0,0.0
603587,地素时尚,服饰,上海,18.82,1.14,4.81,40.5,33.3,5.3,15.09,3.14,0.619,6.65,3.5,20180622.0,10.09,2.1,-11.24,-12.18,75.92,30.22,19269.0,0.0
600060,海信视像,家用电器,山东,27.45,13.08,13.08,293.02,238.14,15.6,24.68,1.89,0.28,11.39,1.35,19970422.0,96.68,7.39,5.28,488.09,17.55,2.3,49462.0,0.0
300414,中光防雷,通信设备,四川,79.98,3.03,3.25,10.69,9.15,0.73,1.19,0.37,0.092,2.76,5.34,20150513.0,4.05,1.25,2.1,25.15,29.3,15.56,18656.0,0.0
603871,嘉友国际,仓储物流,北京,23.51,0.55,2.2,23.57,14.11,2.47,7.52,3.43,0.7020000000000001,8.49,3.89,20180206.0,8.39,3.82,-33.93,-14.16,13.53,10.78,10129.0,0.0
601888,中国中免,旅游服务,北京,227.45,19.52,19.52,341.3,251.35,16.15,19.82,1.02,0.477,9.04,23.98,20091015.0,124.38,6.37,-22.02,-71.73,42.77,4.82,42659.0,0.0
600803,新奥股份,综合类,河北,10.63,12.29,12.29,1043.08,285.06,444.76,0.0,0.0,0.28,5.18,2.43,19940103.0,53.74,4.37,-14.89,-61.74,19.41,1.89,29814.0,0.0
300129,泰胜风能,电气设备,上海,20.88,5.65,7.19,48.4,37.66,6.54,7.13,0.99,0.16,3.28,2.04,20101019.0,8.67,1.21,24.55,115.41,24.1,10.08,41243.0,0.0
603129,春风动力,摩托车,浙江,49.75,1.34,1.34,28.01,20.91,2.6,6.12,4.56,1.33,8.84,14.57,20170818.0,4.86,3.62,8.98,67.51,33.07,9.76,5661.0,0.0
