code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300801,泰和科技,化工原料,山东,23.67,0.54,2.16,20.18,13.55,3.63,9.77,4.52,0.5820000000000001,8.33,3.31,20191128,5.55,2.57,43.05,50.69,29.91,16.17,17414.0
600366,宁波韵升,电器仪表,浙江,41.58,9.89,9.89,57.98,34.44,11.87,1.48,0.15,0.081,4.37,1.53,20001030,29.97,3.03,22.37,50.17,16.34,8.03,85261.0
601882,海天精工,机床制造,浙江,75.48,5.22,5.22,24.71,17.83,5.73,2.9,0.56,0.10300000000000001,2.52,6.15,20161107,4.38,0.84,30.6,52.06,23.0,7.93,15928.0
300857,协创数据,IT设备,深圳,52.78,0.52,2.07,12.36,9.34,2.12,2.53,1.22,0.18600000000000003,5.39,7.3,20200727,2.67,1.29,0.0,0.0,13.06,10.4,101186.0
300592,华凯创意,软件服务,湖南,0.0,0.95,1.22,9.64,7.0,0.47,1.7,1.39,-0.105,3.99,5.89,20170120,1.91,1.56,-68.56,-330.91,17.9,-24.57,13603.0
300846,首都在线,软件服务,北京,253.86,0.5,4.11,8.35,4.11,2.85,0.52,0.13,0.034,1.84,18.72,20200701,1.86,0.45,0.0,0.0,27.0,6.14,97400.0
300859,西域旅游,旅游服务,新疆,0.0,0.39,1.55,4.89,0.27,2.5,0.99,0.64,-0.128,4.08,7.24,20200806,1.48,0.96,0.0,0.0,-516.53,-821.94,78307.0
002430,杭氧股份,化工机械,浙江,22.83,9.64,9.65,137.11,79.87,44.6,16.18,1.68,0.428,6.23,3.14,20100610,29.4,3.05,9.26,3.56,21.34,9.28,16709.0
300647,超频三,元器件,深圳,573.75,2.16,3.57,12.73,5.12,3.26,2.56,0.72,0.005,1.73,6.16,20170503,1.33,0.37,-25.79,-70.2,31.22,1.86,23476.0
603931,格林达,化工原料,浙江,33.75,0.25,1.02,7.14,3.69,1.76,2.35,2.31,0.276,10.36,3.6,20200819,1.87,1.84,0.0,0.0,32.32,20.49,31246.0
300721,怡达股份,化工原料,江苏,0.0,0.42,0.81,20.22,6.02,3.51,5.42,6.73,-0.096,10.36,2.58,20171115,1.9,2.36,-5.06,-310.91,11.61,-1.77,11084.0
300729,乐歌股份,家居用品,浙江,115.48,0.24,0.87,15.71,11.33,3.12,3.43,3.96,0.161,9.49,7.85,20171201,3.57,4.11,3.11,36.15,49.01,5.99,8394.0
600419,天润乳业,乳制品,新疆,28.19,2.69,2.69,25.47,8.9,10.2,8.79,3.27,0.298,5.75,2.93,20010628,3.64,1.36,7.22,3.32,30.05,9.08,23957.0
300787,海能实业,通信设备,江西,42.82,0.5,1.27,16.79,9.35,3.89,4.59,3.6,0.693,9.26,6.41,20190815,5.46,4.29,32.25,47.73,29.28,13.68,14860.0
300642,透景生命,医疗保健,上海,0.0,0.74,0.91,12.11,8.69,2.0,5.6,6.17,-0.21,12.67,4.46,20170421,4.54,5.0,-57.16,-221.21,61.22,-65.95,11032.0
600363,联创光电,元器件,江西,150.37,4.43,4.43,56.65,32.86,5.46,6.33,1.43,0.046,5.95,4.7,20010329,13.72,3.09,-14.91,-29.45,8.87,2.61,35553.0
600962,国投中鲁,软饮料,北京,691.73,2.54,2.62,21.38,12.77,6.74,5.26,2.01,0.004,3.16,3.44,20040622,0.07,0.03,41.08,-31.17,19.12,0.4,17935.0
603076,乐惠国际,专用机械,浙江,26.35,0.27,0.75,18.45,15.27,1.49,5.11,6.86,0.511,10.61,5.08,20171113,1.47,1.97,-11.9,80.89,28.33,18.16,6067.0
605388,均瑶健康,软饮料,湖北,37.14,0.7,4.3,12.01,9.97,0.0,0.0,0.0,0.34700000000000003,4.34,5.93,20200818,0.0,0.0,0.0,0.0,52.81,29.85,71339.0
300733,西菱动力,汽车配件,四川,0.0,0.68,1.6,14.99,5.72,4.16,6.03,3.77,-0.022000000000000002,7.11,2.07,20180116,3.47,2.17,-49.4,-140.93,11.61,-5.87,16196.0
300551,古鳌科技,IT设备,上海,0.0,1.44,2.03,8.08,6.18,1.02,1.32,0.65,-0.057999999999999996,2.88,10.65,20161018,2.34,1.15,4.54,-180.41,40.25,-11.92,9766.0
300116,坚瑞沃能,电气设备,陕西,0.0,37.69,42.81,13.4,10.65,0.77,31.39,0.73,-0.002,0.13,16.23,20100902,-68.54,-1.6,-95.57,98.24,22.4,-200.68,64593.0
300065,海兰信,软件服务,北京,0.0,3.31,3.98,20.9,12.14,0.78,7.44,1.87,-0.039,3.68,4.31,20100326,2.99,0.75,-26.47,-161.52,23.77,-13.11,15231.0
002919,名臣健康,日用化工,广东,183.5,0.42,1.22,6.75,5.92,0.5,3.23,2.65,0.049,4.68,7.76,20171218,1.08,0.88,-17.23,-29.5,37.85,6.56,10715.0
002582,好想你,食品,河南,1.92,4.12,5.16,73.58,52.64,11.66,22.29,4.32,4.49,10.89,1.55,20110520,29.07,5.64,-12.95,1680.02,25.09,90.72,30796.0
002084,海鸥住工,家居用品,广东,95.69,5.4,5.55,35.27,23.86,6.57,5.6,1.01,0.07400000000000001,3.02,4.71,20061124,5.87,1.06,10.71,-24.5,23.51,3.11,23119.0
000869,张 裕Ａ,红黄酒,山东,27.49,4.53,6.85,134.48,52.0,58.66,5.65,0.82,0.34,15.37,2.43,20001026,89.53,13.06,-51.99,-48.92,62.95,29.12,45626.0
300789,唐源电气,软件服务,四川,125.11,0.12,0.46,8.34,7.93,0.09,3.87,8.41,0.127,15.3,4.16,20190828,2.48,5.39,0.0,0.0,60.53,20.88,9114.0
002993,奥海科技,元器件,广东,38.97,0.45,1.81,21.29,16.4,2.91,1.81,1.0,0.727,11.27,5.03,20200817,5.81,3.21,0.0,0.0,22.11,11.52,90228.0
300464,星徽精密,机械基件,广东,271.01,2.58,3.53,32.46,14.85,4.73,10.94,3.1,0.024,5.13,5.04,20150610,3.34,0.94,24.02,-58.32,44.16,1.01,19014.0
002507,涪陵榨菜,食品,重庆,44.47,7.78,7.89,36.28,18.9,9.65,0.21,0.03,0.512,3.85,11.83,20101123,20.05,2.54,10.28,28.44,57.36,33.76,34148.0
603600,永艺股份,家居用品,浙江,56.26,3.02,3.03,18.67,10.75,5.02,5.52,1.82,0.1,4.18,5.11,20150123,3.57,1.18,-19.05,-25.48,21.27,6.68,11257.0
000913,钱江摩托,摩托车,浙江,139.84,4.54,4.54,48.12,32.5,7.94,13.69,3.02,0.034,5.98,3.22,19990514,5.92,1.3,-40.53,11.27,25.46,2.94,13770.0
600556,天下秀,互联网,广西,146.08,3.49,16.8,19.09,18.15,0.03,-11.82,-0.7,0.081,0.64,36.91,20010807,5.21,0.31,66.01,40.54,25.41,10.27,29844.0
300449,汉邦高科,IT设备,北京,85.83,2.41,2.98,16.89,9.32,0.73,8.4,2.82,0.043,3.15,4.65,20150422,-2.09,-0.7,-2.55,167.45,61.91,23.3,20184.0
603167,渤海轮渡,水运,山东,3346.55,4.66,4.73,50.92,5.91,33.72,9.82,2.08,0.003,6.86,2.57,20120906,15.69,3.32,-38.68,-99.54,14.61,0.25,24927.0
002459,晶澳科技,电气设备,河北,22.09,3.87,13.51,305.99,160.81,109.62,39.65,2.93,0.519,6.47,3.55,20100810,31.49,2.33,22.73,77.74,23.28,6.44,21761.0
000993,闽东电力,水力发电,福建,0.0,3.73,4.58,37.83,10.63,16.95,16.49,3.6,-0.057,4.29,2.11,20000731,-1.66,-0.36,-44.81,-199.02,18.14,-33.93,30204.0
605333,沪光股份,汽车配件,江苏,225.2,0.4,4.01,16.16,8.9,3.65,0.03,0.01,0.011000000000000001,1.77,5.72,20200818,1.59,0.4,0.0,0.0,16.4,1.95,43837.0
002108,沧州明珠,塑料,河北,81.43,14.18,14.18,47.4,18.99,13.65,1.84,0.13,0.021,2.33,2.89,20070124,14.24,1.0,-43.64,0.96,12.07,9.42,79818.0
600480,凌云股份,汽车配件,河北,0.0,7.63,7.65,141.48,79.21,29.18,24.96,3.26,-0.13699999999999998,5.91,1.76,20030815,13.18,1.72,-21.58,-318.5,15.31,-4.83,40013.0
600976,健民集团,中成药,湖北,36.3,1.53,1.53,20.11,12.07,2.31,3.01,1.97,0.373,8.01,3.38,20040419,6.26,4.08,-7.61,2.22,41.5,5.57,9883.0
300459,金科文化,互联网,浙江,13.5,22.7,35.44,82.48,33.08,3.66,21.31,0.6,0.061,1.09,3.05,20150515,-12.07,-0.34,-30.35,-13.08,85.09,48.13,75689.0
300185,通裕重工,工程机械,山东,24.64,30.03,32.68,127.21,70.16,45.99,11.45,0.35,0.055999999999999994,1.64,1.69,20110308,8.12,0.25,39.68,55.25,25.4,7.36,115192.0
600186,莲花健康,食品,河南,66.49,13.8,13.8,13.02,7.19,1.04,5.22,0.38,0.023,0.25,12.1,19980825,-16.42,-1.19,-6.06,-76.01,20.12,3.98,66733.0
000897,津滨发展,区域地产,天津,21.33,16.17,16.17,68.79,66.61,0.07,3.1,0.19,0.038,0.79,4.07,19990422,-7.08,-0.44,87.0,471.05,36.71,101.8,108580.0
002216,三全食品,食品,河南,34.34,5.65,7.99,57.26,36.03,16.22,2.25,0.28,0.5660000000000001,3.29,11.8,20080220,15.46,1.93,22.6,409.61,38.18,12.13,24999.0
300226,上海钢联,互联网,上海,115.75,1.83,1.91,131.72,127.74,1.83,7.49,3.92,0.184,6.18,13.76,20110608,2.35,1.23,-70.77,8.92,3.31,0.55,12530.0
300397,天和防务,通信设备,陕西,83.35,3.15,4.32,20.22,11.65,3.64,3.49,0.81,0.145,2.78,8.69,20140910,3.77,0.87,97.72,41.81,38.42,8.9,39400.0
600597,光明乳业,乳制品,上海,80.47,12.24,12.24,176.44,69.57,70.99,16.9,1.38,0.063,4.54,4.47,20020828,24.32,1.99,-5.84,-45.35,32.6,1.5,43591.0
