nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277
第99次尝试:a1 = 3490, a2 = 7341, a3 = 2983, a4 = 6123, a5 = 1964, 年化收益率: 0.20685564301235038

第100次尝试:a1 = 4456, a2 = 7595, a3 = 1178, a4 = 7313, a5 = 1544, 年化收益率: 0.2922775362888511

第101次尝试:a1 = 6995, a2 = 2130, a3 = 4229, a4 = 8713, a5 = 4882, 年化收益率: 0.2849632570330993

第102次尝试:a1 = 6325, a2 = 6632, a3 = 3860, a4 = 6412, a5 = 8853, 年化收益率: 0.15836815832849596

第103次尝试:a1 = 4247, a2 = 2707, a3 = 1288, a4 = 7003, a5 = 4695, 年化收益率: 0.1373794553092869

第104次尝试:a1 = 7194, a2 = 7387, a3 = 8909, a4 = 3252, a5 = 4218, 年化收益率: 0.12270861340298482

第105次尝试:a1 = 6291, a2 = 3827, a3 = 4545, a4 = 9019, a5 = 8466, 年化收益率: 0.1583681583284961

第106次尝试:a1 = 7639, a2 = 2587, a3 = 7587, a4 = 9995, a5 = 1868, 年化收益率: 0.3251248300851656

第107次尝试:a1 = 9317, a2 = 4422, a3 = 2512, a4 = 2527, a5 = 6351, 年化收益率: 0.1583681583284961

第108次尝试:a1 = 2250, a2 = 8050, a3 = 5129, a4 = 4322, a5 = 752, 年化收益率: 0.21154564596929648

